City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
309,Tutoia,-2.7619,-42.2744,82.38,86,10,8.88,BR,clear sky
310,Dikson,73.5069,80.5464,-12.53,97,100,16.62,RU,overcast clouds
311,Bathsheba,13.2167,-59.5167,77.61,83,75,12.66,BB,broken clouds
312,Nagari,13.3333,79.5833,76.89,66,53,2.53,IN,broken clouds
313,Litovko,49.2361,135.1742,6.75,83,100,0.69,RU,overcast clouds
314,Chernyshevskiy,63.0128,112.4714,-3.77,93,100,3.96,RU,overcast clouds
315,Hamilton,39.1834,-84.5333,30.09,87,0,0.0,US,clear sky
316,Awjilah,29.1081,21.2869,54.88,33,1,7.05,LY,clear sky
317,Omboue,-1.5746,9.2618,76.89,88,80,5.48,GA,broken clouds
318,Verkhnevilyuysk,63.4453,120.3167,-9.36,95,100,7.02,RU,overcast clouds
319,Alekseyevsk,57.8406,108.3492,10.98,91,100,2.77,RU,overcast clouds
320,Noumea,-22.2763,166.4572,78.78,84,78,17.02,NC,light rain
321,Lourdes,43.1,-0.05,45.52,76,75,6.91,FR,broken clouds
322,Jinchang,38.4953,102.1739,16.45,73,17,5.88,CN,few clouds
323,Pahrump,36.2083,-115.9839,56.05,21,0,1.01,US,clear sky
324,Coihaique,-45.5752,-72.0662,66.81,72,0,4.61,CL,clear sky
325,Port Keats,-14.25,129.55,88.09,64,57,6.93,AU,broken clouds
326,Grindavik,63.8424,-22.4338,34.27,100,100,58.7,IS,sleet
327,Marzuq,14.4,46.4667,59.65,46,100,2.46,YE,overcast clouds
328,Havre-Saint-Pierre,50.2334,-63.5986,10.99,78,100,11.5,CA,overcast clouds
329,Hovd,48.0056,91.6419,-6.72,68,9,2.3,MN,clear sky
330,Clyde River,70.4692,-68.5914,-30.77,68,20,10.36,CA,few clouds
331,Birin,26.8865,88.0718,45.97,76,67,3.4,NP,broken clouds
332,Thinadhoo,0.5333,72.9333,82.74,62,98,13.06,MV,overcast clouds
333,Tokat,40.4167,36.5833,11.73,87,38,5.99,TR,scattered clouds
334,Nizhniy Baskunchak,48.2198,46.8311,24.04,96,78,8.16,RU,broken clouds
335,Nouadhibou,20.931,-17.0347,62.58,100,95,8.05,MR,overcast clouds
336,Bambui,-20.0064,-45.9769,67.01,99,100,3.71,BR,moderate rain
337,Pedreiras,-4.5688,-44.6003,72.37,99,78,2.64,BR,broken clouds
338,Opuwo,-18.0607,13.84,68.2,46,99,2.95,NA,overcast clouds
339,Okha,53.5739,142.9478,5.4,94,100,23.22,RU,snow
340,Sharlyk,52.9167,54.75,10.44,97,100,2.15,RU,overcast clouds
341,Dzilam Gonzalez,21.2833,-88.9333,68.18,87,0,4.79,MX,clear sky
342,Egvekinot,66.3167,-179.1667,-14.8,86,2,10.76,RU,clear sky
343,Shingu,33.7333,135.9833,45.59,37,75,9.78,JP,broken clouds
344,Paamiut,61.994,-49.6678,10.99,80,100,31.38,GL,light snow
345,Bhag,29.0415,67.8239,66.2,23,1,3.8,PK,clear sky
346,Meulaboh,4.1363,96.1285,79.63,81,98,3.76,ID,overcast clouds
347,Sioux Lookout,50.1001,-91.917,1.78,77,0,3.44,CA,clear sky
348,Rolla,37.9514,-91.7713,35.74,70,0,5.75,US,clear sky
